Date,ret1d_SPY,ret1d_TLT,ret1d_GLD,ret1d_UUP,ret1d_HYG,ret1d_VIX,vol20_SPY,vol20_TLT,vol20_GLD,vol20_UUP,vol20_HYG,vol20_VIX,corr60_SPY_TLT,corr60_HYG_SPY
2006-03-28,-0.278,-0.692,1.229,-0.067,-0.073,0.479,-0.577,-0.617,0.444,-0.059,-0.231,-0.628,-0.621,-1.294
2006-03-29,-1.013,-1.702,-0.732,0.34,-0.073,0.216,-0.767,-0.467,0.292,-0.267,-1.43,-0.804,-0.279,-1.277
2006-03-30,0.929,-0.874,1.85,-0.068,-0.978,-1.081,-0.894,-0.523,0.547,-0.277,-1.321,-0.862,-0.413,-1.104
2006-03-31,-0.326,-1.264,2.768,-2.024,-0.069,1.092,-0.875,-0.521,0.954,0.009,-1.416,-0.726,-0.341,-1.11
2006-04-03,-0.012,-0.079,-1.024,0.711,2.394,-0.294,-0.969,-0.623,0.957,0.107,-0.539,-0.736,-0.407,-1.137
2006-04-04,-0.169,0.04,0.579,-0.29,-0.076,0.32,-1.063,-0.976,0.633,0.065,-0.651,-0.925,-0.412,-1.139
2006-04-05,0.952,-0.203,-0.361,-1.889,-0.076,-0.73,-0.975,-0.991,0.603,-0.219,-0.778,-0.872,-0.385,-1.135
2006-04-06,0.489,0.23,0.503,-0.514,-0.076,-0.003,-0.957,-0.953,0.212,-0.21,-0.923,-0.89,-0.366,-1.181
2006-04-07,-0.221,-1.383,1.026,0.7,-0.076,0.571,-1.183,-0.693,0.246,-0.083,-0.92,-0.889,-0.301,-1.171
2006-04-10,-1.659,-1.764,-1.367,1.468,-0.986,1.356,-0.962,-0.299,0.346,0.401,-0.917,-0.86,0.145,-0.861
